"filename", "language", "Java", "HTML", "CSS", "JavaScript", "XML", "Batch", "comment", "blank", "total"
"/Users/emmafransson/Documents/webbprogrammering/1dv607/assignments/assignment2/a2/app/build/classes/java/main/App 2.class", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 15
"/Users/emmafransson/Documents/webbprogrammering/1dv607/assignments/assignment2/a2/app/build/classes/java/main/App 3.class", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 15
"/Users/emmafransson/Documents/webbprogrammering/1dv607/assignments/assignment2/a2/app/build/classes/java/main/controller/App.class", "Java", -6, 0, 0, 0, 0, 0, 0, 0, -6
"/Users/emmafransson/Documents/webbprogrammering/1dv607/assignments/assignment2/a2/app/build/classes/java/main/controller/User 2.class", "Java", 138, 0, 0, 0, 0, 0, 0, 0, 138
"/Users/emmafransson/Documents/webbprogrammering/1dv607/assignments/assignment2/a2/app/build/classes/java/main/controller/User$1 2.class", "Java", 15, 0, 0, 0, 0, 0, 0, 0, 15
"/Users/emmafransson/Documents/webbprogrammering/1dv607/assignments/assignment2/a2/app/build/classes/java/main/controller/User.class", "Java", 25, 0, 0, 0, 0, 0, 0, 0, 25
"/Users/emmafransson/Documents/webbprogrammering/1dv607/assignments/assignment2/a2/app/build/classes/java/main/controller/menus/DataFetcher.class", "Java", 48, 0, 0, 0, 0, 0, 0, 0, 48
"/Users/emmafransson/Documents/webbprogrammering/1dv607/assignments/assignment2/a2/app/build/classes/java/main/controller/menus/ItemMenu$1.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/emmafransson/Documents/webbprogrammering/1dv607/assignments/assignment2/a2/app/build/classes/java/main/controller/menus/ItemMenu.class", "Java", 48, 0, 0, 0, 0, 0, 0, 0, 48
"/Users/emmafransson/Documents/webbprogrammering/1dv607/assignments/assignment2/a2/app/build/classes/java/main/controller/menus/MainMenu$1.class", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/emmafransson/Documents/webbprogrammering/1dv607/assignments/assignment2/a2/app/build/classes/java/main/controller/menus/MainMenu.class", "Java", 67, 0, 0, 0, 0, 0, 0, 0, 67
